source,external_id,external_url,first_name,last_name,display_name,country_code,gender,category,club_name,club_country_code,ranking_value,rank,ranked_at,confidence_level,total_players
ITTF,143586,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=143586,Tom,Schweiger,Tom Schweiger,DE,M,SENIOR,,,64,261,2026-05-12,HIGH,
ITTF,131723,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=131723,Albert,Vilardell,Albert Vilardell,ES,M,SENIOR,,,64,262,2026-05-12,HIGH,
ITTF,122586,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=122586,Xiangjing,Zhang,Xiangjing Zhang,US,M,SENIOR,,,62,263,2026-05-12,HIGH,
ITTF,122086,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=122086,Andrea,Puppo,Andrea Puppo,IT,M,SENIOR,,,62,264,2026-05-12,HIGH,
ITTF,136657,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=136657,Chulong,Nie,Chulong Nie,AU,M,SENIOR,,,61,265,2026-05-12,HIGH,
ITTF,131413,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=131413,Hyeonggyu,Woo,Hyeonggyu Woo,KR,M,SENIOR,,,61,266,2026-05-12,HIGH,
ITTF,137564,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=137564,Samuel,Arpas,Samuel Arpas,SK,M,SENIOR,,,59,267,2026-05-12,HIGH,
ITTF,124192,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=124192,Kirill,Fadeev,Kirill Fadeev,DE,M,SENIOR,,,58,268,2026-05-12,HIGH,
ITTF,134869,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134869,Jash,Modi,Jash Modi,IN,M,SENIOR,,,57,269,2026-05-12,HIGH,
ITTF,116758,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=116758,Mudit,Dani,Mudit Dani,IN,M,SENIOR,,,57,270,2026-05-12,HIGH,
